firm_id,name,category,category_search,address,rating,reviews_count,reviews_collected,phone,url
70000001089786950,"Bauyrdaq Qazaq Fast-food, кафе",Быстрое питание,кафе,Не указан,4.8,1161,910,+7‒775‒139‒18‒00,https://2gis.kz/almaty/firm/70000001089786950
70000001028556245,"Центр Шашлыка, кафе",Кафе,кафе,Не указан,4.2,806,646,+7‒707‒018‒01‒87,https://2gis.kz/almaty/firm/70000001028556245
70000001082550767,"Baharat, чайхана",Кафе,кафе,Не указан,4.8,1725,1362,+7‒707‒535‒94‒36,https://2gis.kz/almaty/firm/70000001082550767
70000001101151848,"DOM HOGO, кафе",Кафе,кафе,Не указан,4.8,131,104,+7‒707‒382‒78‒17,https://2gis.kz/almaty/firm/70000001101151848
70000001062081597,"Bukhara.kz, кафе",Кафе,кафе,Не указан,4.5,678,492,+7‒700‒812‒70‒70,https://2gis.kz/almaty/firm/70000001062081597
70000001050769375,"Maki Maki, кафе быстрого питания",Доставка еды,кафе,Не указан,4.6,5653,4604,+7‒771‒107‒07‒07,https://2gis.kz/almaty/firm/70000001050769375
70000001094788756,"okadzaki. kz, кафе",Кафе,кафе,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001041444514,"МЯТ Вышка, лаундж-бар",Бары,кафе,Не указан,4.7,1871,1601,+7‒701‒777‒17‒52,https://2gis.kz/almaty/firm/70000001041444514
70000001068970224,"Shafran, кафе",Кафе,кафе,Не указан,4.8,4113,3275,+7‒707‒990‒14‒84,https://2gis.kz/almaty/firm/70000001068970224
70000001053127916,"Vilka, стейк-хаус",Кафе,кафе,Не указан,4.6,1845,1622,+7‒778‒515‒47‒03,https://2gis.kz/almaty/firm/70000001053127916
70000001080307870,"Pizzalini, ресторан",Рестораны,ресторан,Не указан,4.9,469,440,+7‒747‒693‒58‒68,https://2gis.kz/almaty/firm/70000001080307870
70000001089490010,"Bella Ciao, итальянская траттория",Рестораны,ресторан,Не указан,4.5,1221,1065,+7‒708‒377‒37‒37,https://2gis.kz/almaty/firm/70000001089490010
70000001080765510,"GRANO, европейский ресторан итальянской кухни",Доставка еды,ресторан,Не указан,4.7,904,786,+7‒705‒125‒50‒05,https://2gis.kz/almaty/firm/70000001080765510
70000001089998787,"Chaihana NAVAT, ресторан",Рестораны,ресторан,Не указан,4.8,5328,4660,+7‒777‒464‒11‒11,https://2gis.kz/almaty/firm/70000001089998787
70000001056262668,"Lova Kitchen, лаундж-бар",Бары,ресторан,Не указан,4.7,1689,1446,+7‒776‒700‒00‒15,https://2gis.kz/almaty/firm/70000001056262668
70000001094788756,"okadzaki. kz, кафе",Кафе,ресторан,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001047809429,"Sansara Lounge, ресто-бар",Бары,ресторан,Не указан,4.9,1777,1545,+7‒700‒022‒28‒75,https://2gis.kz/almaty/firm/70000001047809429
70000001089371439,"Mildom Terrace, авторский ресторан европейской кухни",Рестораны,ресторан,Не указан,4.6,140,98,+7‒775‒474‒25‒91,https://2gis.kz/almaty/firm/70000001089371439
70000001058785497,"TomYumBar, ресторан паназиатской кухни",Рестораны,ресторан,Не указан,4.9,2742,2241,+7‒708‒001‒80‒80,https://2gis.kz/almaty/firm/70000001058785497
70000001057218816,"MÖTE, ресторан",Рестораны,ресторан,Не указан,4.9,420,363,+7‒700‒600‒02‒12,https://2gis.kz/almaty/firm/70000001057218816
70000001094773595,"Harat`s Republic, бар",Кафе,бар,Не указан,4.9,469,415,+7‒707‒130‒77‒57,https://2gis.kz/almaty/firm/70000001094773595
70000001104066064,Gallery lounge Bar,Кафе,бар,Не указан,0.0,0,1,+7‒707‒398‒24‒52,https://2gis.kz/almaty/firm/70000001104066064
70000001101405317,"The Phoenix Pub, бар",Бары,бар,Не указан,4.6,33,27,+7‒707‒111‒03‒49,https://2gis.kz/almaty/firm/70000001101405317
70000001088195231,"HookahPlace Almaty, лаундж-бар",Бары,бар,Не указан,4.9,188,156,+7‒771‒376‒66‒36,https://2gis.kz/almaty/firm/70000001088195231
70000001100042129,"Shisha Platinum, лаундж-бар и караоке",Караоке-залы,бар,Не указан,4.8,181,158,+7‒707‒055‒10‒11,https://2gis.kz/almaty/firm/70000001100042129
70000001075828426,"Мятный Platinum Alapark, лаундж-бар",Кафе,бар,Не указан,4.9,310,251,+7‒705‒617‒79‒77,https://2gis.kz/almaty/firm/70000001075828426
70000001096798537,"Шашлыкоff, гриль-бар",Кафе,бар,Не указан,4.7,591,515,+7‒707‒835‒08‒88,https://2gis.kz/almaty/firm/70000001096798537
70000001038205162,"Lugo bar, ресто-бар",Бары,бар,Не указан,4.7,2505,2132,+7‒778‒557‒32‒26,https://2gis.kz/almaty/firm/70000001038205162
70000001041686805,"Easy, лаундж-бар",Кафе,бар,Не указан,4.8,530,424,+7‒775‒219‒66‒88,https://2gis.kz/almaty/firm/70000001041686805
70000001063421066,"ZEBRA COFFEE, кофейня",Кофейни,кофейня,Не указан,4.9,570,481,+7‒706‒406‒86‒50,https://2gis.kz/almaty/firm/70000001063421066
70000001103813058,"Sezim bar, ресторан",Кафе,кофейня,Не указан,4.7,84,95,+7‒707‒457‒64‒36,https://2gis.kz/almaty/firm/70000001103813058
70000001083443769,"Nel`, кондитерский магазин",Кондитерские изделия,кофейня,Не указан,4.9,278,258,+7‒707‒709‒70‒87,https://2gis.kz/almaty/firm/70000001083443769
70000001048534082,"Qulpynai, сеть пекарен-кондитерских",Кофейни,кофейня,Не указан,4.7,1576,1241,+7‒707‒170‒72‒02,https://2gis.kz/almaty/firm/70000001048534082
70000001057770550,"Lova Coffee, кофейня",Кофейни,кофейня,Не указан,4.6,2728,2312,+7‒707‒809‒09‒53,https://2gis.kz/almaty/firm/70000001057770550
70000001050738563,"Next Door coffee & bakery, кофейня",Кофейни,кофейня,Не указан,4.4,283,222,+7‒707‒999‒67‒89,https://2gis.kz/almaty/firm/70000001050738563
70000001063137713,"Coffee Original, кофейня",Кофейни,кофейня,Не указан,4.5,1814,1587,+7‒747‒845‒21‒91,https://2gis.kz/almaty/firm/70000001063137713
70000001054629845,"Coffee BOOM, сеть кофеен",Кофейни,кофейня,Не указан,4.6,1258,1044,+7‒700‒096‒91‒11,https://2gis.kz/almaty/firm/70000001054629845
70000001034586328,"Kulikov, кондитерский дом",Кондитерские изделия,кофейня,Не указан,4.5,476,435,+7‒700‒294‒75‒10,https://2gis.kz/almaty/firm/70000001034586328
70000001060420607,"Lavla, кафе",Кофейни,кофейня,Не указан,4.4,980,835,+7‒775‒040‒07‒01,https://2gis.kz/almaty/firm/70000001060420607
70000001080307870,"Pizzalini, ресторан",Рестораны,пиццерия,Не указан,4.9,469,440,+7‒747‒693‒58‒68,https://2gis.kz/almaty/firm/70000001080307870
70000001068942896,"Sushibox, служба доставки японской кухни",Быстрое питание,пиццерия,Не указан,4.7,367,280,+7‒700‒818‒80‒80,https://2gis.kz/almaty/firm/70000001068942896
70000001099770639,My pizza box,Быстрое питание,пиццерия,Не указан,4.8,217,187,+7‒776‒696‒55‒88,https://2gis.kz/almaty/firm/70000001099770639
70000001051073128,"Додо Пицца, сеть пиццерий",Пиццерии,пиццерия,Не указан,4.5,989,760,+7‒7719444004,https://2gis.kz/almaty/firm/70000001051073128
9429940001087006,"Pizza Mizza, кафе быстрого питания",Доставка еды,пиццерия,Не указан,4,142,126,+7‒771‒413‒34‒34,https://2gis.kz/almaty/firm/9429940001087006
70000001094788756,"okadzaki. kz, кафе",Кафе,пиццерия,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001100042129,"Shisha Platinum, лаундж-бар и караоке",Караоке-залы,пиццерия,Не указан,4.8,181,158,+7‒707‒055‒10‒11,https://2gis.kz/almaty/firm/70000001100042129
70000001034343425,"Pizza house, кафе быстрого питания",Пиццерии,пиццерия,Не указан,4.3,345,305,+7‒775‒212‒72‒75,https://2gis.kz/almaty/firm/70000001034343425
70000001089266912,"Make Love Pizza, кафе",Кафе,пиццерия,Не указан,4.6,347,302,Не указан,https://2gis.kz/almaty/firm/70000001089266912
70000001075435363,"LAGRAM, кафе",Доставка еды,пиццерия,Не указан,4.9,1723,1554,+7‒702‒025‒78‒79,https://2gis.kz/almaty/firm/70000001075435363
70000001063335938,Yakuza Sushi & Tom Yum,Рестораны,суши,Не указан,4.8,1862,1670,+7‒702‒109‒10‒96,https://2gis.kz/almaty/firm/70000001063335938
9429940000800832,"Sumo-San, суши-бар",Суши-бары,суши,Не указан,4.6,2954,2681,+7‒707‒666‒77‒75,https://2gis.kz/almaty/firm/9429940000800832
70000001068942896,"Sushibox, служба доставки японской кухни",Быстрое питание,суши,Не указан,4.7,367,280,+7‒700‒818‒80‒80,https://2gis.kz/almaty/firm/70000001068942896
70000001039192978,"Wolt Kazakhstan, международный сервис по доставке еды",Доставка еды,суши,Не указан,1.4,1246,1133,Не указан,https://2gis.kz/almaty/firm/70000001039192978
70000001048360886,"Crystal sushi & pizza, ​служба доставки суши",Доставка еды,суши,Не указан,4.7,280,234,+7‒700‒203‒83‒30,https://2gis.kz/almaty/firm/70000001048360886
70000001094788756,"okadzaki. kz, кафе",Кафе,суши,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001058910532,"Ginger Sushi, Служба доставки",Доставка еды,суши,Не указан,4.5,476,374,+7‒747‒317‒72‒21,https://2gis.kz/almaty/firm/70000001058910532
70000001033555124,"Satori, ресторан",Рестораны,суши,Не указан,4.8,337,295,+7 (727) 220‒41‒18,https://2gis.kz/almaty/firm/70000001033555124
70000001034343425,"Pizza house, кафе быстрого питания",Пиццерии,суши,Не указан,4.3,345,305,+7‒775‒212‒72‒75,https://2gis.kz/almaty/firm/70000001034343425
70000001060039480,MAGURO sushi & pizza,Суши-бары,суши,Не указан,4.7,254,179,+7‒702‒539‒07‒07,https://2gis.kz/almaty/firm/70000001060039480
70000001094746199,Doner na Abaya,Быстрое питание,фастфуд,Не указан,4.8,806,425,+7‒777‒102‒04‒30,https://2gis.kz/almaty/firm/70000001094746199
70000001044487952,"I’M, ресторан быстрого обслуживания",Быстрое питание,фастфуд,Не указан,4.4,1132,798,+7‒707‒834‒95‒58,https://2gis.kz/almaty/firm/70000001044487952
70000001089160926,"DURUM, кафе быстрого питания",Быстрое питание,фастфуд,Не указан,4.8,373,222,+7‒707‒547‒18‒13,https://2gis.kz/almaty/firm/70000001089160926
70000001094783987,"Taba nan, ​кафе быстрого питания",Быстрое питание,фастфуд,Не указан,4.7,100,70,+7‒701‒948‒00‒33,https://2gis.kz/almaty/firm/70000001094783987
70000001094976949,Burger na Abaya,Быстрое питание,фастфуд,Не указан,4.8,400,202,+7‒708‒597‒39‒92,https://2gis.kz/almaty/firm/70000001094976949
70000001094788756,"okadzaki. kz, кафе",Кафе,фастфуд,Не указан,4.8,795,673,+7‒771‒125‒57‒60,https://2gis.kz/almaty/firm/70000001094788756
70000001080816628,"Wendy’s, ресторан быстрого питания",Быстрое питание,фастфуд,Не указан,3.8,417,355,+7‒701‒547‒77‒30,https://2gis.kz/almaty/firm/70000001080816628
70000001058997976,"Tiger food, кафе быстрого питания",Быстрое питание,фастфуд,Не указан,2.8,52,42,Не указан,https://2gis.kz/almaty/firm/70000001058997976
70000001082837235,"Ata Doner, донерная",Быстрое питание,фастфуд,Не указан,4.6,935,594,+7‒778‒335‒00‒86,https://2gis.kz/almaty/firm/70000001082837235
70000001043560435,"SALAM BRO, сеть кафе и киосков быстрого питания",Быстрое питание,фастфуд,Не указан,4.8,2019,1233,+7‒702‒876‒21‒16,https://2gis.kz/almaty/firm/70000001043560435
70000001103335183,"Totoni, киоск быстрого питания",Быстрое питание,бургерная,Не указан,4.9,17,10,Не указан,https://2gis.kz/almaty/firm/70000001103335183
70000001088459096,Burger na Satpaуeva,Быстрое питание,бургерная,Не указан,4.7,551,332,+7‒700‒797‒47‒47,https://2gis.kz/almaty/firm/70000001088459096
70000001044487952,"I’M, ресторан быстрого обслуживания",Быстрое питание,бургерная,Не указан,4.4,1132,798,+7‒707‒834‒95‒58,https://2gis.kz/almaty/firm/70000001044487952
70000001043984399,"SALAM BRO, сеть кафе и киосков быстрого питания",Быстрое питание,бургерная,Не указан,4.7,1797,1092,+7‒705‒899‒12‒69,https://2gis.kz/almaty/firm/70000001043984399
70000001089351716,"Doner na Seifullina, донерная",Быстрое питание,бургерная,Не указан,4.7,350,229,+7‒747‒381‒55‒23,https://2gis.kz/almaty/firm/70000001089351716
70000001089610676,"Kervan doner, кафе быстрого питания",Быстрое питание,бургерная,Не указан,4,58,39,+7‒775‒519‒52‒76,https://2gis.kz/almaty/firm/70000001089610676
70000001026518282,"Vilka, стейк-хаус",Кафе,бургерная,Не указан,4.6,1651,1464,+7‒707‒730‒30‒32,https://2gis.kz/almaty/firm/70000001026518282
70000001080816628,"Wendy’s, ресторан быстрого питания",Быстрое питание,бургерная,Не указан,3.8,417,355,+7‒701‒547‒77‒30,https://2gis.kz/almaty/firm/70000001080816628
70000001093686407,Popeyes,Быстрое питание,бургерная,Не указан,4.4,202,152,+7‒708‒962‒51‒59,https://2gis.kz/almaty/firm/70000001093686407
70000001069001811,"DURUM, кафе быстрого питания",Быстрое питание,бургерная,Не указан,4.8,514,327,+7‒747‒360‒52‒03,https://2gis.kz/almaty/firm/70000001069001811
9429940000836798,"Аксай нан, сеть хлебно-кондитерских магазинов",Хлебобулочные изделия,кондитерская,Не указан,3.5,449,386,+7 (727) 330‒31‒00,https://2gis.kz/almaty/firm/9429940000836798
70000001048534082,"Qulpynai, сеть пекарен-кондитерских",Кофейни,кондитерская,Не указан,4.7,1576,1241,+7‒707‒170‒72‒02,https://2gis.kz/almaty/firm/70000001048534082
70000001089353769,"Safia, кондитерский дом",Кондитерские изделия,кондитерская,Не указан,4.6,906,784,8‒800‒004‒40‒40,https://2gis.kz/almaty/firm/70000001089353769
70000001055893652,"Тәп-Тәтті, кондитерская-пекарня",Кондитерские изделия,кондитерская,Не указан,4.4,230,198,+7‒708‒583‒48‒68,https://2gis.kz/almaty/firm/70000001055893652
70000001100391670,Bentoday,Кондитерские изделия,кондитерская,Не указан,4.7,218,156,+7‒776‒755‒31‒88,https://2gis.kz/almaty/firm/70000001100391670
70000001079661882,Макаронная лавка,Кондитерские изделия,кондитерская,Не указан,4.9,1087,779,Не указан,https://2gis.kz/almaty/firm/70000001079661882
70000001022074365,"Kulikov, кондитерский дом",Кондитерские изделия,кондитерская,Не указан,4.6,294,272,+7‒700‒294‒74‒96,https://2gis.kz/almaty/firm/70000001022074365
70000001084149669,"Lalu Cake, кондитерская",Кафе-кондитерские,кондитерская,Не указан,4.8,4016,3055,+7‒707‒907‒77‒72,https://2gis.kz/almaty/firm/70000001084149669
9429940000827844,"Nazik, фирменный магазин",Кондитерские изделия,кондитерская,Не указан,4.2,140,104,+7‒701‒555‒05‒59,https://2gis.kz/almaty/firm/9429940000827844
70000001094283474,"Malina Desserts, кофейня",Кафе-кондитерские,пекарня,Не указан,4.2,55,41,+7‒707‒921‒28‒38,https://2gis.kz/almaty/firm/70000001094283474
9429940001603194,"Kamilla, сеть кондитерских",Кондитерские изделия,пекарня,Не указан,4.2,34,28,+7‒707‒970‒96‒18,https://2gis.kz/almaty/firm/9429940001603194
70000001041314581,Milky Cake,Кондитерские изделия,пекарня,Не указан,4.2,783,689,+7‒708‒297‒98‒40,https://2gis.kz/almaty/firm/70000001041314581
70000001100638856,"Cinnabon, пекарня",Кофейни,пекарня,Не указан,4.5,277,214,Не указан,https://2gis.kz/almaty/firm/70000001100638856
70000001044857920,"Bizdin Biday, пекарня",Кондитерские изделия,пекарня,Не указан,4.7,152,112,Не указан,https://2gis.kz/almaty/firm/70000001044857920
70000001083456440,"Тәп-Тәтті, кондитерская-пекарня",Кондитерские изделия,пекарня,Не указан,4.7,93,80,+7‒776‒000‒45‒90,https://2gis.kz/almaty/firm/70000001083456440
70000001095717014,"Coffee Boom roasters and bakery, сеть кофеен",Кофейни,пекарня,Не указан,4.7,1061,947,+7‒700‒111‒99‒69,https://2gis.kz/almaty/firm/70000001095717014
70000001080319326,"DO.STAR specialty coffee, кофейня-кафе",Кофейни,пекарня,Не указан,4.8,310,261,+7‒707‒912‒35‒56,https://2gis.kz/almaty/firm/70000001080319326
70000001089490010,"Bella Ciao, итальянская траттория",Рестораны,пекарня,Не указан,4.5,1221,1065,+7‒708‒377‒37‒37,https://2gis.kz/almaty/firm/70000001089490010
70000001062418192,"Брецель, пекарня",Пекарни,пекарня,Не указан,4.4,164,139,+7‒701‒088‒70‒77,https://2gis.kz/almaty/firm/70000001062418192
